Compound,A-1,A-2,B-1,B-2,C-1,C-2,D-1,D-2,E-1,E-2,F-1,F-2,G-1,G-2,H-1,H-2,I-1,I-2
239,0.002181752,0,0.00049645,0.001695547,0.000510446,0.001504462,0.003489947,0.000810646,0.0005536,0.002075201,0.000844285,0.000769965,0.002006473,0.000726446,2.99E-06,0.002168614,0.000303832,0.001061871
240,3.08E-05,2.03E-05,5.37E-05,8.33E-05,5.49E-05,3.62E-05,6.21E-05,8.95E-05,2.50E-05,5.93E-05,4.21E-06,2.07E-05,4.18E-05,0.000111364,2.91E-05,5.45E-05,3.65E-05,0.000108037
241,8.87E-05,0.000114615,0.000122981,8.98E-05,6.75E-05,0.000130708,0,0,0,0,0,0,0,0,3.15E-05,0,0,0
242,3.50E-05,3.15E-05,3.86E-05,6.69E-05,0,5.27E-05,0.000204475,5.85E-05,0.000117808,0.000152433,7.28E-05,8.85E-05,0.000152845,9.46E-05,1.09E-05,0.000108838,0.000136156,0.000152923
243,0.001190489,0.001230248,0.00088575,0.001101409,0.000995374,0.001460991,0.002771235,0.0009933,0.001183398,0.001307165,0.001263554,0.000819348,0.001910748,0.001038328,0.001395203,0.001221161,0.001248423,0.001171726
244,7.77E-05,2.86E-05,8.27E-05,5.16E-05,5.36E-05,4.84E-05,8.36E-05,4.30E-05,3.27E-05,6.44E-05,4.08E-05,3.19E-05,5.62E-05,1.09E-05,4.66E-05,3.48E-05,4.57E-05,2.73E-05
245,0.002866233,0.001341187,0.002649136,0.001897732,0.002052684,0.002184578,0.005196168,0.002900132,0.002113615,0.003239398,0.002111319,0.002116988,0.003493529,0.001342797,0.003448731,0.002236168,0.002323681,0.001918776
246,0.000260277,8.73E-05,8.41E-05,8.89E-05,5.36E-05,7.89E-05,0.00011761,6.51E-05,3.84E-05,9.39E-05,8.63E-05,3.03E-05,0.00010354,8.19E-05,3.46E-05,0.000163437,5.61E-05,4.99E-05
247,8.16E-05,0.000102687,0.000106497,9.88E-05,6.86E-05,0.000109518,0.000150067,7.53E-05,4.63E-05,0.000108644,8.45E-05,5.73E-05,0.000127868,6.50E-05,6.97E-05,0.000116358,7.65E-05,8.69E-05
248,4.35E-05,4.44E-05,4.53E-05,5.37E-05,6.47E-05,5.97E-05,8.04E-05,3.55E-05,3.05E-05,4.81E-05,2.87E-05,2.45E-05,5.68E-05,3.12E-05,4.91E-05,4.33E-05,3.56E-05,3.47E-05
249,5.01E-05,2.99E-05,3.83E-05,3.97E-05,3.84E-05,3.98E-05,0,0,0,0,0,0,0,0,5.18E-05,0,0,0
250,3.89E-05,2.73E-05,4.25E-05,4.03E-05,1.94E-05,4.70E-05,9.02E-05,4.16E-05,4.05E-05,4.49E-05,3.25E-05,3.29E-05,6.06E-05,4.07E-05,6.10E-05,4.55E-05,3.52E-05,4.51E-05
251,4.59E-06,1.63E-06,3.76E-06,5.09E-06,0.000357734,1.10E-05,6.48E-06,5.05E-06,8.03E-06,7.80E-06,4.10E-05,3.58E-06,4.03E-06,0.000135171,7.46E-06,5.08E-06,0,1.82E-05
252,4.72E-05,9.66E-05,9.35E-05,8.08E-05,0,8.83E-05,0.000101586,4.14E-05,6.87E-05,6.59E-05,6.14E-05,7.62E-05,4.83E-05,0,8.38E-06,0,5.32E-05,7.54E-05
253,4.22E-05,4.07E-05,4.17E-05,2.58E-05,1.30E-05,2.03E-05,3.78E-05,7.72E-06,0,0,0,0,7.12E-06,0,1.03E-05,9.55E-06,1.75E-05,1.69E-05
254,0,0,0,5.42E-06,9.14E-06,1.31E-05,0,0,0,0,0,0,0,0,0,0,0,0
255,0.00012199,9.43E-05,0.000114972,0.000104784,5.75E-05,0.00017546,0.00017483,3.68E-05,1.70E-05,0.000119113,6.10E-05,2.71E-05,0.000104717,1.97E-05,0.00010196,0.000138046,4.80E-05,0.000104533
256,0.000116465,0.000135997,0.000166024,7.82E-05,7.67E-05,0.0001474,0.000204297,0.000139085,5.58E-05,9.40E-05,0.00018771,8.37E-05,8.85E-05,0.000123689,0.000475251,9.46E-05,9.19E-05,0.000109802
257,6.08E-05,3.09E-05,4.79E-05,3.58E-05,2.24E-05,4.68E-05,7.35E-05,5.93E-06,2.59E-05,5.28E-05,5.37E-06,2.35E-05,5.50E-05,0,8.25E-06,4.84E-05,1.66E-05,3.10E-05
258,0.00162616,0.001166303,0.001059821,0.001204023,0.000831803,0.001084011,0.000974179,0.000785532,0.0003637,0.00109433,0.000673883,0.000344812,0.0007726,0.000360844,0.000431843,0.001275731,0.000574253,0.000621621
259,0.00937126,0.00445715,0.00177378,0.001575136,0.018202335,0.001308393,0.00117512,0.000955784,0.0005341,0.005653803,0.008052912,0.000744667,0.001365941,0.000410217,0.000756811,0.013898142,0.005844714,0.001402401
260,8.87E-05,0.000114615,0.000122981,8.98E-05,6.75E-05,0.000130708,0,0,0,0,0,0,0,0,3.15E-05,0,0,0
261,8.61E-06,0,1.21E-05,1.07E-05,0,1.83E-05,1.58E-05,1.43E-05,1.50E-05,1.22E-05,8.87E-06,7.63E-06,1.91E-05,1.32E-05,3.54E-05,1.50E-05,0,1.42E-05
262,3.59E-06,6.51E-06,7.63E-06,3.17E-06,3.36E-06,8.15E-06,2.65E-05,7.64E-06,2.70E-05,7.64E-06,1.77E-05,0,1.76E-05,0,3.71E-05,1.67E-05,1.50E-05,7.53E-05
263,8.86E-05,0.000109157,9.86E-05,0.000119471,9.22E-05,9.04E-05,9.62E-05,2.64E-05,4.35E-05,6.09E-05,7.91E-05,4.15E-05,4.14E-05,2.38E-05,5.61E-05,6.22E-05,7.83E-06,5.86E-05
264,0.000648627,0.000561665,0.000610241,0.000730599,0.000487412,0.000862864,0.000957678,0.000411632,0.000404403,0.000544621,0.00042129,0.000326039,0.000578733,0.000223048,0.000441325,0.000543707,0.000382603,0.000505603
265,0.000102817,9.26E-05,9.99E-05,0.000133642,0,0.00011218,0,0,0,0,0,0,0,0,5.58E-06,0,0,0
266,0.000349586,0.000408671,0.000298564,0.000354015,0.000321323,0.000318378,0,0,0,0,0,0,0,0,5.81E-06,0,0,0
267,0.000188936,0.000226254,0.000269953,0.000205015,0.000114899,0.000348188,0.000382851,0.000179882,0.000279709,0.000177687,0.000268265,0.000204332,0.000221451,6.25E-05,0.000353149,0.000203178,0.000204388,0.000176789
268,0.000400022,0.000387866,0.000401672,0.00030039,0.000280381,0.000285244,9.95E-05,0,1.46E-05,0.000111245,1.58E-05,1.25E-05,9.84E-05,0,8.60E-05,0.000114653,6.11E-05,0
269,6.33E-05,8.81E-05,4.53E-05,5.13E-05,7.84E-05,4.62E-05,0.000122897,0.000121428,5.01E-05,0.000103682,0.000108571,4.29E-05,8.01E-05,9.04E-05,8.04E-05,7.05E-05,0.000100203,6.24E-05
270,0.000187181,0.000178083,0.00018575,0.000141666,0.00019277,0.00019113,0.000198417,7.48E-05,7.40E-05,0.00014541,0.000130512,6.52E-05,0.000130398,6.36E-05,0.000102886,0.000119951,9.62E-05,9.13E-05
271,0,0,0,0,0,0,0,0,0,0,2.15E-06,1.52E-06,2.75E-06,9.17E-06,0,2.82E-06,0,1.32E-05
272,0.001814399,0.002317066,0.00286432,0.001576758,0.001478125,0.002486634,0.002606344,0.001326221,0.001651716,0.001755879,0.002003235,0.001499315,0.002015809,0.001481777,0.002418876,0.001810456,0.001845501,0.002430377
273,0.000261076,0.00017089,0.000134042,0.00026258,9.08E-05,0.000125678,7.24E-05,2.85E-05,2.95E-05,0.00019775,5.26E-05,1.27E-05,4.51E-05,1.40E-05,2.17E-05,0.000132016,4.47E-05,3.86E-05
274,6.12E-05,5.83E-05,5.88E-05,4.38E-05,1.15E-05,5.91E-05,0.000138051,4.30E-05,4.62E-05,6.95E-05,4.49E-05,4.24E-05,8.20E-05,4.77E-05,5.55E-05,7.33E-05,4.74E-05,7.50E-05
275,3.08E-05,2.03E-05,5.37E-05,8.33E-05,5.49E-05,3.62E-05,6.21E-05,8.95E-05,2.50E-05,5.93E-05,4.21E-06,2.07E-05,4.18E-05,0.000111364,2.91E-05,5.45E-05,3.65E-05,0.000108037
276,9.02E-06,9.52E-06,2.31E-05,1.72E-05,1.55E-05,2.20E-05,2.50E-05,1.25E-05,1.03E-05,2.24E-05,1.63E-05,1.64E-05,2.19E-05,1.24E-05,1.07E-05,1.27E-05,1.64E-05,1.87E-05
277,1.45E-05,1.90E-05,1.95E-05,6.80E-06,2.02E-05,7.14E-06,1.16E-05,1.40E-05,1.14E-05,1.11E-05,1.22E-05,7.76E-06,1.06E-05,8.46E-06,1.51E-05,7.83E-07,0,4.62E-06
278,1.05E-05,1.03E-05,7.96E-06,9.74E-06,6.68E-06,0,0,0,0,0,0,0,0,0,1.90E-07,0,0,0
279,3.14E-06,2.14E-06,2.77E-06,1.79E-06,0,3.07E-06,1.82E-05,7.13E-06,8.07E-06,7.14E-06,5.24E-06,5.24E-06,1.24E-05,5.96E-06,0.000103855,6.79E-06,6.62E-06,0
280,1.34E-05,1.64E-05,2.03E-05,1.76E-05,1.51E-05,2.67E-05,2.59E-05,1.80E-05,2.15E-05,2.50E-05,3.06E-05,2.34E-05,2.21E-05,2.28E-05,3.01E-05,1.34E-05,2.01E-05,1.85E-05
281,0,0,0,0,0,2.19E-06,3.19E-05,1.43E-05,1.89E-05,2.48E-05,1.80E-05,1.38E-05,2.05E-05,5.91E-06,0,2.60E-05,1.55E-05,2.27E-05
282,0.00061911,0.000736923,0.000801293,0.000496085,0.000597879,0.000845438,0.000857304,0.000445777,0.00040923,0.000492294,0.00051467,0.000328763,0.00053032,0.000430453,0.000477438,0.00055138,0.000521975,0.000545764
283,8.17E-05,7.61E-05,9.82E-05,6.61E-05,4.71E-05,0.000105334,0.000139711,6.19E-05,8.18E-05,7.38E-05,7.85E-05,6.67E-05,9.67E-05,6.35E-05,0.000111945,7.89E-05,7.07E-05,9.38E-05
284,7.03E-05,6.02E-05,6.21E-05,9.30E-05,0.000387409,7.40E-05,8.50E-05,4.83E-05,4.35E-05,6.79E-05,0,3.22E-05,4.84E-05,2.70E-05,4.94E-05,2.73E-05,3.69E-05,3.61E-05
285,0.000309089,0.000818892,0.001174781,0.00097049,0.000643978,0.00102039,0.001731813,0.000812825,0.000810735,0.000984365,0.000739625,0.000574589,0.001010572,0.000640262,0.000818906,0.000899365,0.000840715,0.000848121
286,0.000330458,0.000315732,0.000240979,0.000260162,0.000149398,0.000233447,0.000538491,0.000286486,0.000196699,0.000306899,0.000337048,0.000218876,0.000348927,0.000246023,0.000260434,0.000383397,0.000303868,0.000284071
287,0.000298169,0.000196961,0.000233036,0.000348855,0.000178538,0.000243479,0.00038375,0.000145187,0.000163695,0.000275031,0.000169659,0.000134013,0.000251208,0.000161954,0.000197372,0.000268191,0.000136881,0.000227172
288,0,0,0,0,0,0,0,0,0,2.75E-05,7.72E-05,7.15E-05,6.54E-05,2.96E-05,0,4.29E-05,3.77E-05,4.24E-05
289,5.73E-05,4.71E-05,6.12E-05,5.46E-05,4.37E-05,6.71E-05,7.05E-05,3.75E-05,3.02E-05,4.93E-05,3.55E-05,2.88E-05,5.14E-05,1.53E-05,2.18E-05,4.92E-05,3.19E-05,4.20E-05
290,7.24E-06,6.53E-06,3.68E-06,8.65E-06,7.33E-06,0,1.68E-05,1.12E-05,7.08E-06,1.21E-05,8.85E-06,7.02E-06,1.07E-05,1.37E-05,3.37E-05,8.62E-06,7.86E-06,9.49E-06
291,4.59E-06,4.46E-06,6.87E-06,7.96E-06,0,8.74E-06,4.70E-05,2.70E-05,1.92E-05,1.43E-05,1.66E-05,1.67E-05,5.89E-05,3.63E-05,4.91E-05,1.38E-05,8.47E-06,1.62E-05
292,4.39E-06,7.02E-06,5.77E-06,3.30E-06,4.83E-06,8.36E-06,9.26E-06,1.06E-05,6.91E-06,5.85E-06,5.79E-06,7.02E-06,4.93E-06,6.56E-06,4.80E-06,4.59E-06,9.45E-06,6.30E-06
293,0.00022264,0.000216279,0.000197706,0.000154802,0.000129314,0.000206858,4.54E-05,3.74E-05,3.97E-05,6.66E-05,5.71E-05,3.50E-05,8.61E-05,8.51E-06,1.15E-05,6.85E-05,3.98E-05,4.04E-05
294,1.77E-05,1.71E-05,1.26E-05,1.96E-05,2.95E-05,1.82E-05,2.03E-05,9.21E-06,9.26E-06,9.32E-06,1.66E-05,1.16E-05,1.50E-05,9.61E-06,1.69E-05,1.23E-05,1.09E-05,1.41E-05
295,0.00020912,0.000189371,0.000217511,0.000168735,0.000154938,0.00022293,0.000116705,5.90E-05,1.51E-05,7.09E-05,3.32E-05,4.44E-05,8.32E-05,4.97E-05,3.77E-05,7.47E-05,4.39E-05,5.46E-05
296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,0.101691305,0,0,0,0,0,0,0,0,0,0.008103953,0,0.378725061,0.440530112,4.59E-05,0,0,0
298,7.62E-07,9.32E-07,0,0,5.98E-06,6.59E-06,0,0,8.38E-06,8.60E-07,1.92E-06,3.84E-06,1.02E-06,1.51E-06,5.31E-05,0,8.56E-07,2.22E-06
299,0,0,3.93E-06,0,0,0,1.39E-05,6.25E-06,4.77E-06,8.00E-06,6.03E-06,4.24E-06,8.37E-06,3.35E-06,0,7.40E-06,5.04E-06,8.45E-06
300,0.007014041,0.009396227,0.009669043,0.004594999,0.006091855,0.010134781,0.010189739,0.00764224,0.006737785,0.004315699,0.009074963,0.004511182,0.005242129,0.00733327,0.006848647,0.004524015,0.0087719,0.00803627
301,4.23E-06,8.15E-05,0.000112362,0,7.19E-05,0.000124201,0,6.18E-06,8.39E-05,0.000117225,8.06E-05,5.50E-05,9.55E-05,5.51E-06,2.49E-06,0.000138181,8.03E-05,7.29E-05
302,0.000256138,0.000296924,0.000316493,0.00024371,0.00013747,0.000329333,0.000344133,0.000197917,0.000175877,0.000252115,0.000213089,0.00016283,0.000222788,0.000171393,0.000206721,0.000218698,0.000182074,0.000224415
303,0,0,0,0,0,0,7.39E-05,7.85E-05,9.47E-05,6.95E-05,5.15E-05,3.97E-05,0.000119583,5.80E-05,0,6.19E-05,4.18E-05,3.75E-05
304,0.000274244,0.00018915,0.000186003,0.000255497,0.000155435,0.000202928,0.000369516,0.000143641,0.000119242,0.000189574,0.000138296,0.000105808,0.000236382,7.75E-05,0.000151118,0.000214586,0.000139629,0.000115572
305,0,6.96E-05,8.05E-05,0.000104084,0.000110875,6.71E-05,0.000379645,0.00012548,0.00017588,0.000274393,0.000263851,0.000311298,0.000204419,0.000128737,1.24E-05,0.000201168,0.000220477,0.000190048
306,0.000349586,0.000408671,0.000298564,0.000354015,0.000321323,0.000318378,0,0,0,0,0,0,0,0,5.81E-06,0,0,0
307,0.000130459,4.37E-05,9.62E-05,0.000123985,5.20E-05,0.000111502,0.000232568,9.09E-05,5.76E-05,0.0001538,7.89E-05,6.76E-05,0.00016267,5.67E-05,8.84E-05,0.000129994,6.44E-05,7.58E-05
308,1.59E-05,1.06E-05,1.22E-05,1.49E-05,1.26E-05,1.70E-05,2.46E-05,0,1.04E-05,2.05E-05,1.43E-05,4.71E-06,1.70E-05,0,5.88E-06,2.14E-05,1.31E-05,9.82E-06
309,2.68E-06,0,2.97E-06,7.58E-06,0,4.23E-06,3.09E-05,1.96E-05,2.29E-05,2.89E-05,3.10E-05,3.95E-05,1.91E-05,2.57E-05,2.08E-05,1.04E-05,2.04E-05,1.95E-05
310,1.70E-05,1.29E-05,1.71E-05,1.62E-05,1.45E-05,2.17E-05,3.54E-06,0,1.06E-06,0,0,0,4.76E-06,1.18E-06,2.24E-06,0,0,0
311,4.06E-06,1.60E-05,1.19E-05,0,8.18E-06,7.88E-06,0,0,0,0,0,0,0,0,3.72E-05,0,0,0
312,8.96E-06,8.89E-06,8.51E-06,6.26E-06,2.65E-06,5.69E-06,0,0,0,0,0,0,0,0,2.09E-06,0,0,0
313,0,0,0,8.22E-05,7.94E-05,4.44E-05,0,0,0,0,0,0,0,0,0,0,0,0
314,0.00071427,0.000556168,0.000748871,0.000568397,0.000389788,0.000745796,0.000960142,0.000459013,0.000645995,0.00051659,0.000509986,0.000320966,0.000544827,0.000360448,0.000553242,0.000525881,0.000396794,0.000655827
315,8.03E-05,3.48E-05,4.57E-05,4.02E-05,0,7.74E-05,0.000152609,3.46E-05,5.87E-05,0.000107528,5.26E-05,3.68E-05,0.000161751,5.20E-05,1.37E-05,0.000107565,2.63E-05,4.42E-05
316,5.45E-06,1.07E-05,7.50E-06,7.22E-06,0,1.36E-05,1.38E-05,7.16E-06,9.03E-06,5.21E-06,6.68E-06,7.43E-06,6.66E-06,1.17E-05,3.78E-05,7.69E-06,1.06E-05,1.10E-05
317,1.31E-06,1.38E-06,3.57E-06,2.90E-06,5.26E-06,3.46E-06,2.02E-05,1.36E-05,1.24E-05,9.21E-06,8.67E-06,1.05E-05,2.37E-05,1.81E-05,3.07E-05,5.15E-06,2.92E-06,9.34E-06
318,4.48E-05,4.73E-05,3.67E-05,6.20E-05,0,7.06E-05,0,0,0,0,0,0,2.52E-06,0,6.17E-06,0,0,0
319,6.76E-05,0.000111176,8.40E-05,9.20E-05,7.44E-05,0.000173376,5.86E-05,4.25E-05,3.81E-05,1.98E-05,2.75E-05,1.89E-05,3.06E-05,9.81E-06,2.08E-05,1.30E-05,5.00E-05,2.30E-05
320,0.000463949,0.000510455,0.000445574,0.000435537,0.000274682,0.000518945,0.000565481,0.00016644,0.000250556,0.000415016,0.000332827,0.000320894,0.0003162,0.000180471,0.000303571,0.000441102,0.000467648,0.000508483
321,0.000197826,0.000154095,0.000160054,0.000211626,0.000107146,0.000179878,5.88E-05,1.38E-05,1.86E-05,3.45E-05,2.46E-05,1.50E-05,3.33E-05,1.74E-05,1.62E-05,3.54E-05,2.01E-05,3.51E-05
322,6.37E-05,8.59E-05,6.14E-05,6.19E-05,5.24E-05,0.000121625,1.06E-05,2.00E-06,0,2.06E-06,3.02E-06,1.26E-06,3.80E-06,0,2.85E-05,2.82E-06,2.61E-06,0
323,8.65E-05,7.79E-05,8.62E-05,5.66E-05,3.62E-05,4.87E-05,0,0,0,0,0,0,0,0,1.52E-06,0,0,0
324,0.000118388,0.000108224,0.000133911,0.000102708,8.98E-05,0.000120763,8.87E-05,1.88E-05,4.07E-05,6.89E-05,6.02E-05,4.35E-05,7.15E-05,4.38E-05,3.71E-05,6.76E-05,4.93E-05,4.56E-05
325,5.71E-05,3.29E-05,3.37E-05,9.05E-05,4.69E-05,5.57E-05,0.000213081,6.57E-05,4.33E-05,4.59E-05,1.79E-05,1.82E-05,0.000135658,6.21E-05,6.17E-05,4.57E-05,2.61E-05,2.15E-05
326,0.000211937,0.000216573,0.0002401,0.000199101,0.000194695,0.000244485,0.00027095,0.000105082,9.25E-05,0.000210634,0.000113946,0.000132104,0.000175551,9.06E-05,0.000159116,0.00014078,0.000154196,0.000147159
327,0.003560426,0.003873195,0.003482157,0.000431406,0.002309282,0.002752013,0.000553958,0.000261818,0.000237531,0.000347295,0.000307891,0.000237719,0.000522954,0.000192402,0.000345099,0.000343909,0.000335502,0.000420369
328,6.56E-05,6.15E-05,0.000113051,0.00012694,0,6.25E-05,0.00029514,0.00010119,0.000136985,0.000265869,0.00022706,0.000171948,0.000284006,0.00012086,0.00061755,0.000190209,9.89E-05,0.000123693
329,0.00044727,0.000396036,0.000546996,0.000417276,0.000279224,0.000573005,0.000682467,0.000269234,0.000343384,0.000435023,0.000303351,0.00028657,0.00046288,0.000208402,0.000412673,0.000408747,0.000294769,0.000439906
330,0.000319917,0.000164368,0.000389668,0,0.000180872,0.000388223,0.000608117,0.000261058,0.000266883,0.000331168,0.000166413,0.000169786,0.000369435,0.000216752,1.19E-05,0.000461999,0.000200556,0.00023155
331,3.65E-05,1.30E-05,4.05E-05,3.87E-05,0.001234317,3.38E-05,0,4.44E-06,3.85E-06,7.53E-06,0,0,0,0,6.03E-05,2.05E-05,0,2.88E-06
332,1.69E-05,0.000110611,1.57E-05,8.36E-05,1.75E-05,4.32E-05,0,0,0,0,0,0,0,0,2.99E-06,0,0,0
333,2.36E-05,1.72E-05,1.54E-05,2.17E-05,2.09E-05,1.21E-05,2.12E-05,1.08E-05,9.71E-06,1.04E-05,5.12E-06,5.16E-06,1.31E-05,0,1.05E-05,1.60E-05,4.70E-06,1.29E-05
334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,0.000127738,0.000126233,0.000138012,0.000122078,7.87E-05,0.000154761,0.000191122,7.87E-05,9.82E-05,0.000167287,0.000101774,7.85E-05,0.000160647,9.09E-05,0.000122855,7.56E-06,0.000100485,0.000118397
336,0,0,7.97E-05,0,0,0,0.000104961,0.001482937,9.98E-05,0.001010556,9.55E-05,0.000106909,0.000121882,0.000329555,0,3.29E-05,9.84E-05,0.000202796
337,0.000303452,0.001818853,0.001298559,1.94E-05,0,5.18E-05,0,0,0,0.000712775,0.001061202,0.000689273,7.75E-05,0,8.89E-05,0.000521283,0.001190048,0.00066748
338,0.000239151,0.000202186,0.000167747,0.000216986,0,0.00021778,0.000104434,5.21E-05,0,8.23E-05,5.99E-05,3.89E-05,8.30E-05,4.13E-05,1.89E-06,7.38E-05,6.69E-05,1.94E-05
339,0,0,0,1.12E-06,0,0,1.41E-05,3.66E-06,6.34E-06,9.08E-06,7.41E-06,5.00E-06,5.17E-06,1.96E-06,0,8.35E-06,5.76E-06,8.48E-06
340,5.57E-05,3.06E-05,2.91E-05,4.49E-05,2.92E-05,3.79E-05,4.70E-05,2.52E-05,2.11E-05,5.38E-05,2.82E-05,2.37E-05,3.54E-05,1.95E-05,3.04E-05,3.35E-05,2.29E-05,5.28E-05
341,4.01E-05,3.64E-05,4.43E-05,2.97E-05,3.06E-05,5.17E-05,5.07E-05,2.66E-05,2.56E-05,2.84E-05,2.75E-05,1.92E-05,3.82E-05,1.90E-05,1.04E-05,2.67E-05,2.62E-05,1.87E-05
342,0.001036035,0.00068476,0.000706796,0.000672243,0.00035803,0.000686458,0.000920777,0.000348745,0.00041647,0.000985336,0.000516033,0.000332556,0.000884043,0.00049501,0.000494371,0.000208127,0.000490567,0.000131963
343,0.001299246,0.001292974,0.001483626,0.001043163,0.00098937,0.001737438,0.0002883,6.38E-05,0.000193722,0.000306609,2.21E-05,0.000104218,0.000315512,0.000106721,0.000172599,0.000332109,6.31E-05,0.00018731
344,5.30E-05,5.70E-05,8.63E-05,8.44E-05,4.25E-05,7.32E-05,0.000144784,6.16E-05,7.77E-05,7.86E-05,8.65E-05,7.28E-05,0.000106941,4.11E-05,6.08E-05,5.59E-05,5.78E-05,7.69E-05
345,0.000244689,0.000247016,0.00027708,0.000202182,0.00012326,0.000225044,0.000419806,0.000182038,0.000153543,0.000255275,0.00018293,0.000135462,0.000260637,0.000182896,0.00018213,0.000233623,0.000189875,0.000225685
346,0.001025888,0.000807471,0.000976375,0.000910741,0.00052589,0.001019777,0.001846158,0.000683402,0.000833917,0.000844919,0.000900621,0.000534131,0.001180005,0.000631184,0.001005002,0.00106267,0.000966948,0.000939817
347,1.17E-05,8.72E-06,8.23E-06,8.13E-06,1.52E-06,1.87E-05,2.68E-05,8.63E-06,7.25E-06,1.36E-05,1.29E-05,7.18E-06,1.39E-05,1.34E-06,1.27E-05,1.46E-05,1.38E-05,1.14E-05
348,2.72E-05,2.48E-05,3.84E-05,2.35E-05,3.87E-05,1.79E-05,4.45E-05,4.14E-06,2.51E-06,5.41E-06,3.62E-06,1.43E-05,3.00E-06,3.56E-06,2.34E-06,4.51E-06,4.67E-06,3.72E-06
349,2.71E-06,4.28E-06,4.45E-06,1.57E-06,4.20E-06,5.50E-06,1.19E-05,5.95E-06,5.45E-06,7.00E-06,8.40E-06,4.95E-06,8.22E-06,5.61E-06,5.66E-06,5.08E-06,7.45E-06,4.41E-06
350,0,0,0,0,0,0,8.43E-05,3.94E-05,4.56E-05,4.83E-05,2.86E-05,1.31E-05,3.81E-05,9.27E-06,0,4.50E-05,1.30E-05,5.79E-05
351,3.94E-05,2.93E-05,3.44E-05,4.33E-05,3.75E-05,3.62E-05,7.16E-05,3.63E-05,2.75E-05,4.30E-05,3.27E-05,2.37E-05,4.63E-05,2.72E-05,4.06E-05,3.71E-05,2.99E-05,2.53E-05
352,1.42E-05,2.62E-06,3.74E-06,1.54E-05,3.62E-06,4.37E-06,2.99E-05,7.39E-06,1.11E-05,2.93E-05,9.01E-06,1.98E-05,2.92E-05,7.70E-06,2.15E-05,1.63E-05,3.76E-06,7.21E-06
353,0.000274244,0.00018915,0.000186003,0.000255497,0.000155435,0.000202928,0.000369516,0.000143641,0.000119242,0.000189574,0.000138296,0.000105808,0.000236382,7.75E-05,0.000151118,0.000214586,0.000139629,0.000115572
354,4.06E-05,0.00011742,0.000102053,0,0.000177146,0.000208671,0,0.000119422,9.38E-05,9.09E-05,0.000106347,8.18E-05,7.15E-05,0.000123302,1.26E-06,0.000134508,7.17E-05,0.000139361
355,1.26E-05,1.59E-06,8.44E-07,3.46E-06,3.52E-06,1.04E-05,0,0,0,0,0,0,0,0,2.39E-05,0,0,0
356,0,0,0,0,0,0,9.79E-05,5.64E-05,4.60E-05,6.17E-05,5.53E-05,3.37E-05,6.92E-05,6.10E-06,0,5.76E-05,5.83E-05,5.86E-05
357,1.45E-06,0,0,0,8.88E-06,2.20E-05,3.29E-05,4.93E-05,0.000103358,3.96E-06,5.55E-05,6.21E-05,5.60E-06,6.05E-05,6.21E-05,5.10E-06,6.96E-05,5.39E-05
358,0,0.000265807,0,7.25E-05,0.002316558,2.22E-05,6.24E-05,0.000144469,1.41E-05,6.82E-05,0.000115844,2.07E-05,3.10E-05,9.80E-05,0,8.21E-05,0.000122393,1.39E-05
359,6.13E-05,5.13E-05,0.000118917,0.000266539,1.64E-05,7.89E-05,0.000124926,5.53E-05,3.84E-05,3.49E-05,4.52E-05,2.65E-05,4.04E-05,2.18E-05,2.70E-05,9.21E-05,1.60E-05,4.46E-05
360,0.003601168,0.003911169,0.003833857,0.001513882,0.002665388,0.005125548,0.002124528,0.003624763,0.003317992,0.004228519,0.004357871,0.002865392,0.001638055,0.003285332,0.003176618,0.002864282,0.001270264,0.003291188
361,4.68E-05,1.60E-05,4.08E-05,3.94E-05,1.40E-05,4.32E-05,6.49E-05,5.99E-06,3.07E-05,4.13E-05,0,1.92E-05,4.88E-05,1.08E-05,8.67E-05,4.37E-05,1.21E-05,4.06E-05
362,0,0,0,0,0,0,0,0,0,0,0,0,5.39E-06,2.24E-05,0,0,0,0
363,3.41E-05,2.21E-05,2.97E-05,4.24E-05,3.52E-05,2.97E-05,0.000343591,0.000171231,0.000146406,0.000143814,0.000154996,8.61E-05,0.000402276,0.00027038,0.000357632,9.80E-05,8.16E-05,0.000102326
364,0.000127658,6.92E-05,0.000128435,0.000115586,6.88E-05,9.93E-05,0.000195487,8.00E-05,8.09E-05,0.000140563,9.16E-05,7.94E-05,0.000146056,7.46E-05,0.000124194,0.000132834,9.10E-05,0.000106308
365,5.86E-05,0,3.88E-05,7.40E-05,2.68E-05,0,0.000153502,6.28E-05,9.33E-05,0.000209461,9.31E-05,0.000118357,0.000138098,7.79E-05,1.83E-06,3.88E-05,4.83E-05,6.80E-05
366,0,0,0,0,0,0,0.008918239,0.002678264,0,0.006284899,0.003598618,0.002759662,0.004009359,0.002650246,0,0.004842401,0.003694014,0.004060078
367,2.41E-06,1.65E-06,4.63E-06,7.33E-06,6.74E-06,5.55E-06,0,0,5.11E-07,6.85E-06,1.86E-06,3.90E-06,0,0,2.68E-05,0,0,0
368,0.001558555,0.001758714,0.000566154,0.000746483,0.001802275,0.002030215,0.000353417,0.000593088,0.000107335,0.000751498,0.000422802,0.000177519,0.000188617,0.000442494,6.01E-05,0.000816331,0.000740808,0.000188681
