Compound,A-1,A-2,B-1,B-2,C-1,C-2,D-1,D-2,E-1,E-2,F-1,F-2,G-1,G-2,H-1,H-2,I-1,I-2
145,0.000110789,9.96E-05,7.86E-05,0.000126234,5.92E-05,0.000152411,0,0,0,0,0,0,7.98E-06,0,2.06E-06,0,0,0
146,5.54E-05,5.84E-05,7.88E-05,5.14E-05,4.59E-05,9.57E-05,0.000140778,0.000133054,0.000114027,0.000101389,0.000106081,9.68E-05,0.0001033,6.26E-05,0.00010867,6.24E-05,0.000113604,9.58E-05
147,0.000107606,0.00010243,5.88E-05,9.70E-05,9.37E-05,0.000118839,0.000119479,7.55E-05,1.66E-05,0.000110275,3.52E-05,0,6.99E-05,2.97E-05,4.72E-05,0.000104415,2.61E-05,2.33E-05
148,1.92E-05,1.26E-05,1.59E-05,1.43E-05,5.88E-05,2.46E-05,4.92E-06,3.80E-06,1.44E-05,1.18E-05,7.64E-06,7.53E-06,8.78E-06,2.49E-06,2.17E-06,9.66E-06,2.63E-06,2.65E-06
149,0.000140469,0.000187683,0.000171359,9.59E-05,0.000110925,0.000220792,0.000252138,0.000165357,0.000122494,0.000158224,0.000168178,0.000172742,0.000221796,0.000126653,0.000192179,0.000153522,0.000114653,0.000219502
150,4.16E-05,4.30E-05,4.17E-05,5.80E-05,2.16E-05,6.64E-05,6.01E-05,4.90E-05,2.68E-05,5.00E-05,4.56E-05,3.46E-05,3.30E-05,4.14E-05,4.08E-05,5.12E-05,4.46E-05,4.74E-05
151,3.95E-05,3.89E-05,3.40E-05,3.36E-05,3.13E-05,4.13E-05,6.88E-05,2.44E-05,3.14E-05,4.57E-05,3.72E-05,2.92E-05,5.30E-05,2.21E-05,4.10E-05,5.09E-05,3.38E-05,3.71E-05
152,4.69E-06,6.74E-06,9.83E-06,9.52E-06,5.07E-06,1.02E-05,2.85E-05,2.04E-05,1.44E-05,2.16E-05,2.06E-05,1.57E-05,1.79E-05,2.39E-05,2.04E-05,1.56E-05,1.63E-05,2.16E-05
153,0.000172343,0.002418267,0.001860971,0.002326868,0.000645614,0.004777624,0.004312316,0.001062609,0.00278684,0.001762137,0.00243208,0.001161562,0.002475765,0.001250551,0.003268767,0.002306773,0.002114998,0.002113065
154,4.79E-05,2.82E-05,1.57E-05,6.89E-05,3.18E-05,2.75E-05,5.97E-05,1.54E-05,2.16E-05,3.07E-05,3.15E-05,2.42E-05,4.04E-05,1.51E-05,1.46E-05,3.60E-05,0,2.01E-05
